Type;ID Discussion;Nb Segments;Similitude Moyenne
INTRA (Réf);audio-1773407004.29901;10;0.268
INTER;audio-1773406501.29799;8;0.3023
INTER;audio-1773403721.28842;20;0.3015
INTER;audio-1773405378.29369;13;0.2878
INTER;audio-1773404182.28921;10;0.2826
INTER;audio-1773404602.29250;27;0.2768
INTER;audio-1773403414.28767;24;0.2643
INTER;audio-1773406044.29570;19;0.2611
INTER;audio-1773400315.27371;5;0.2395
INTER;audio-1775026399.40938;6;0.2183
INTER;audio-1773406527.29803;15;0.2156
INTER;audio-1775030856.31673;3;0.2133
INTER;audio-1773401109.27876;8;0.21
INTER;audio-1775026708.40952;9;0.2064
INTER;audio-1773404349.29066;11;0.2059
INTER;audio-1773400658.27514;10;0.2042
INTER;audio-1775028716.41313;3;0.2017
INTER;audio-1773403450.28778;10;0.2012
INTER;audio-1775033905.42249;4;0.2008
INTER;audio-1775032917.42139;21;0.2005
INTER;audio-1773398359.26843;3;0.2004
INTER;audio-1775032532.42069;15;0.1975
INTER;audio-1773401440.28104;17;0.1969
INTER;audio-1773399390.27077;9;0.1968
INTER;audio-1775033408.42185;7;0.1966
INTER;audio-1773400919.27578;5;0.195
INTER;audio-1773401499.21513;3;0.1924
INTER;audio-1773398880.26995;13;0.1907
INTER;audio-1775025893.40608;4;0.1906
INTER;audio-1773404504.29223;7;0.1897
INTER;audio-1775032192.32020;4;0.1892
INTER;audio-1775026649.40948;6;0.1877
INTER;audio-1773398245.26823;4;0.1826
INTER;audio-1773405810.29550;4;0.1825
INTER;audio-1775030418.41623;3;0.1824
INTER;audio-1775026276.40906;3;0.1813
INTER;audio-1773403821.28852;16;0.1808
INTER;audio-1773406234.29636;10;0.1795
INTER;audio-1773401927.28348;11;0.1785
INTER;audio-1773400084.20925;9;0.176
INTER;audio-1775030662.31651;12;0.1736
INTER;audio-1775031713.41765;14;0.1716
INTER;audio-1773405457.29373;7;0.1712
INTER;audio-1773405730.29546;4;0.1656
INTER;audio-1773405031.29314;9;0.1651
INTER;audio-1775032164.41898;5;0.1639
INTER;audio-1775032606.32130;2;0.1625
INTER;audio-1773403074.28717;6;0.1619
INTER;audio-1775033540.32214;14;0.1607
INTER;audio-1773398136.26807;5;0.1585
INTER;audio-1775028942.41407;6;0.1582
INTER;audio-1773398331.26839;14;0.1581
INTER;audio-1773403591.28782;11;0.1523
INTER;audio-1775031996.31819;5;0.143
INTER;audio-1773404163.28913;7;0.1411
INTER;audio-1773402731.28558;6;0.1395
INTER;audio-1773403298.28728;15;0.1388
INTER;audio-1773407328.29939;12;0.1348
INTER;audio-1775032737.32140;8;0.1338
INTER;audio-1773400104.27333;9;0.1321
INTER;audio-1773398901.26999;30;0.1306
INTER;audio-1773407028.22763;14;0.1293
INTER;audio-1775031458.41751;6;0.1246
INTER;audio-1773397929.26766;2;0.1194
INTER;audio-1775031826.41778;31;0.1179
INTER;audio-1773407172.29929;3;0.1151
INTER;audio-1773402323.28388;4;0.1143
INTER;audio-1773402260.28378;21;0.1141
INTER;audio-1775031968.41843;8;0.1106
INTER;audio-1773402913.28607;19;0.109
