Type;ID Discussion;Nb Segments;Similitude Moyenne
INTRA (Réf);audio-1773401440.28104;17;0.541
INTER;audio-1773403821.28852;16;0.5557
INTER;audio-1773401927.28348;11;0.5546
INTER;audio-1773399390.27077;9;0.5207
INTER;audio-1775033540.32214;14;0.2877
INTER;audio-1775031996.31819;5;0.2595
INTER;audio-1775033408.42185;7;0.2348
INTER;audio-1775026708.40952;9;0.2343
INTER;audio-1773401109.27876;8;0.2286
INTER;audio-1773400919.27578;5;0.2243
INTER;audio-1773405031.29314;9;0.2206
INTER;audio-1773403450.28778;10;0.2202
INTER;audio-1773400658.27514;10;0.209
INTER;audio-1773404349.29066;11;0.2007
INTER;audio-1773400315.27371;5;0.1951
INTER;audio-1775026649.40948;6;0.189
INTER;audio-1775033905.42249;4;0.1884
INTER;audio-1773403414.28767;24;0.1863
INTER;audio-1773400084.20925;9;0.1826
INTER;audio-1775031458.41751;6;0.1821
INTER;audio-1775025893.40608;4;0.18
INTER;audio-1773407028.22763;14;0.1763
INTER;audio-1773407172.29929;3;0.1731
INTER;audio-1775026276.40906;3;0.1716
INTER;audio-1773407004.29901;10;0.1709
INTER;audio-1773398880.26995;13;0.166
INTER;audio-1775032532.42069;15;0.1649
INTER;audio-1775026399.40938;6;0.164
INTER;audio-1773403721.28842;20;0.1638
INTER;audio-1775028716.41313;3;0.1626
INTER;audio-1773400104.27333;9;0.1607
INTER;audio-1775028942.41407;6;0.1583
INTER;audio-1775031968.41843;8;0.1539
INTER;audio-1773406044.29570;19;0.1511
INTER;audio-1773398359.26843;3;0.1499
INTER;audio-1775032192.32020;4;0.1495
INTER;audio-1773405378.29369;13;0.1494
INTER;audio-1775032164.41898;5;0.1487
INTER;audio-1773406501.29799;8;0.1447
INTER;audio-1775032606.32130;2;0.1437
INTER;audio-1773404182.28921;10;0.1415
INTER;audio-1773404602.29250;27;0.1397
INTER;audio-1775030856.31673;3;0.1373
INTER;audio-1773406527.29803;15;0.1325
INTER;audio-1775032737.32140;8;0.1321
INTER;audio-1773406234.29636;10;0.1317
INTER;audio-1773398136.26807;5;0.1316
INTER;audio-1773402323.28388;4;0.1237
INTER;audio-1773398331.26839;14;0.1196
INTER;audio-1773403298.28728;15;0.1142
INTER;audio-1775032917.42139;21;0.1109
INTER;audio-1775030418.41623;3;0.1106
INTER;audio-1773407328.29939;12;0.1084
INTER;audio-1773404163.28913;7;0.1073
INTER;audio-1773402260.28378;21;0.1067
INTER;audio-1773403074.28717;6;0.1053
INTER;audio-1773401499.21513;3;0.1043
INTER;audio-1773402731.28558;6;0.1039
INTER;audio-1775031826.41778;31;0.0965
INTER;audio-1775030662.31651;12;0.0927
INTER;audio-1773405810.29550;4;0.0926
INTER;audio-1773403591.28782;11;0.0925
INTER;audio-1773398901.26999;30;0.0848
INTER;audio-1773397929.26766;2;0.0792
INTER;audio-1773405457.29373;7;0.0775
INTER;audio-1773398245.26823;4;0.075
INTER;audio-1773402913.28607;19;0.0588
INTER;audio-1775031713.41765;14;0.0423
INTER;audio-1773405730.29546;4;0.0292
INTER;audio-1773404504.29223;7;0.0184
