Type Analyse;Date Exécution;Locuteur Cible;ID Discussion;Nb Segments;Paires Comparées;Similitude Moyenne;Score Min;Score Max;Ecart-Type
INTRA (Réf);20260720_1439;operateur;audio-1773402260.28378;21;210;0.7134;0.4681;0.8988;0.0897
INTER;20260720_1439;operateur;audio-1773407172.29929;3;63;0.3307;0.1977;0.4726;0.0573
INTER;20260720_1439;operateur;audio-1775032917.42139;21;441;0.3129;0.0318;0.5646;0.0915
INTER;20260720_1439;operateur;audio-1773403450.28778;10;210;0.259;0.0516;0.4387;0.0919
INTER;20260720_1439;operateur;audio-1773398245.26823;4;84;0.2512;0.1278;0.3679;0.0465
INTER;20260720_1439;operateur;audio-1773403298.28728;15;315;0.2509;0.0378;0.4753;0.083
INTER;20260720_1439;operateur;audio-1773401499.21513;3;63;0.2502;0.0143;0.4423;0.1034
INTER;20260720_1439;operateur;audio-1773405810.29550;4;84;0.243;0.1557;0.4039;0.0456
INTER;20260720_1439;operateur;audio-1775032737.32140;8;168;0.229;0.0295;0.404;0.0863
INTER;20260720_1439;operateur;audio-1773398901.26999;30;630;0.228;0.0374;0.3829;0.0616
INTER;20260720_1439;operateur;audio-1773405730.29546;4;84;0.2278;0.048;0.3855;0.0733
INTER;20260720_1439;operateur;audio-1775030418.41623;3;63;0.2173;0.0798;0.3337;0.0641
INTER;20260720_1439;operateur;audio-1773406527.29803;15;315;0.1997;-0.0014;0.4715;0.0927
INTER;20260720_1439;operateur;audio-1773402323.28388;4;84;0.1953;0.0414;0.3762;0.0859
INTER;20260720_1439;operateur;audio-1775026708.40952;9;189;0.1948;0.0512;0.3482;0.0643
INTER;20260720_1439;operateur;audio-1775030662.31651;12;252;0.1933;-0.08;0.4425;0.0894
INTER;20260720_1439;operateur;audio-1773400104.27333;9;189;0.1823;0.0148;0.3502;0.0768
INTER;20260720_1439;operateur;audio-1775032606.32130;2;42;0.1784;0.0642;0.361;0.0682
INTER;20260720_1439;operateur;audio-1773399390.27077;9;189;0.1742;-0.0637;0.4274;0.0925
INTER;20260720_1439;operateur;audio-1773400919.27578;5;105;0.1686;0.0321;0.3161;0.073
INTER;20260720_1439;operateur;audio-1773401109.27876;8;168;0.1681;-0.0021;0.3923;0.0714
INTER;20260720_1439;operateur;audio-1773398331.26839;14;294;0.1649;0.0014;0.353;0.0641
INTER;20260720_1439;operateur;audio-1773407028.22763;14;294;0.1576;-0.0587;0.3551;0.0759
INTER;20260720_1439;operateur;audio-1773401927.28348;11;231;0.1549;-0.0222;0.3809;0.0686
INTER;20260720_1439;operateur;audio-1773404163.28913;7;147;0.1543;0.0276;0.3811;0.0677
INTER;20260720_1439;operateur;audio-1775033540.32214;14;294;0.1531;-0.0576;0.3501;0.0778
INTER;20260720_1439;operateur;audio-1773403821.28852;16;336;0.1507;-0.0414;0.4076;0.0697
INTER;20260720_1439;operateur;audio-1775028942.41407;6;126;0.1498;0.0163;0.2892;0.0524
INTER;20260720_1439;operateur;audio-1773398359.26843;3;63;0.1494;0.0355;0.2991;0.0631
INTER;20260720_1439;operateur;audio-1773403074.28717;6;126;0.1434;-0.0515;0.3209;0.0719
INTER;20260720_1439;operateur;audio-1773400084.20925;9;189;0.1419;-0.0744;0.3526;0.0751
INTER;20260720_1439;operateur;audio-1773403591.28782;11;231;0.1414;-0.0405;0.3066;0.0693
INTER;20260720_1439;operateur;audio-1773407328.29939;12;252;0.141;-0.0097;0.321;0.0679
INTER;20260720_1439;operateur;audio-1773406234.29636;10;210;0.1381;-0.0973;0.4087;0.1025
INTER;20260720_1439;operateur;audio-1775031996.31819;5;105;0.1374;-0.0438;0.3153;0.0743
INTER;20260720_1439;operateur;audio-1775031826.41778;31;651;0.1361;-0.1205;0.3635;0.0842
INTER;20260720_1439;operateur;audio-1775031968.41843;8;168;0.1306;-0.0296;0.2694;0.0575
INTER;20260720_1439;operateur;audio-1775030856.31673;3;63;0.1296;-0.0979;0.3847;0.139
INTER;20260720_1439;operateur;audio-1773402913.28607;19;399;0.1275;-0.1205;0.3508;0.0849
INTER;20260720_1439;operateur;audio-1775026276.40906;3;63;0.1208;-0.0;0.2973;0.0629
INTER;20260720_1439;operateur;audio-1773400315.27371;5;105;0.12;-0.0557;0.3007;0.0813
INTER;20260720_1439;operateur;audio-1773404349.29066;11;231;0.1119;-0.0641;0.304;0.0702
INTER;20260720_1439;operateur;audio-1773405457.29373;7;147;0.1092;-0.0317;0.2648;0.0503
INTER;20260720_1439;operateur;audio-1773401440.28104;17;357;0.1067;-0.1151;0.2717;0.0658
INTER;20260720_1439;operateur;audio-1773402731.28558;6;126;0.1059;-0.0241;0.2312;0.051
INTER;20260720_1439;operateur;audio-1773405031.29314;9;189;0.1016;-0.063;0.2876;0.0646
INTER;20260720_1439;operateur;audio-1775033408.42185;7;147;0.0954;-0.0445;0.2885;0.0585
INTER;20260720_1439;operateur;audio-1775031458.41751;6;126;0.0923;-0.0278;0.2485;0.0592
INTER;20260720_1439;operateur;audio-1773400658.27514;10;210;0.0913;-0.0814;0.2328;0.0527
INTER;20260720_1439;operateur;audio-1775032532.42069;15;315;0.0805;-0.1668;0.3376;0.0972
INTER;20260720_1439;operateur;audio-1775026399.40938;6;126;0.0779;-0.0952;0.238;0.0725
INTER;20260720_1439;operateur;audio-1773403414.28767;24;504;0.0766;-0.1314;0.262;0.0728
INTER;20260720_1439;operateur;audio-1775028716.41313;3;63;0.0764;-0.0562;0.2712;0.0793
INTER;20260720_1439;operateur;audio-1775031713.41765;14;294;0.076;-0.0936;0.281;0.0636
INTER;20260720_1439;operateur;audio-1773398880.26995;13;273;0.0738;-0.1288;0.2285;0.063
INTER;20260720_1439;operateur;audio-1775025893.40608;4;84;0.0728;-0.1033;0.2171;0.0666
