Date Exécution;Locuteur Cible;Type Analyse;ID Discussion;Nb Segments Total;ID du Profil (Top 3);Similitude Moyenne;Score Min;Score Max;Ecart-Type
20260722_0958;operateur;INTRA (Référence);audio-1775031826.41778;31;audio-1775031826.41778_operateur_37, audio-1775031826.41778_operateur_69, audio-1775031826.41778_operateur_57;0.6438;0.3283;0.7692;0.088
20260722_0958;operateur;INTER (Cible);audio-1773398359.26843;3;audio-1773398359.26843_operateur_37, audio-1773398359.26843_operateur_42, audio-1773398359.26843_operateur_35;0.4606;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773401499.21513;3;audio-1773401499.21513_operateur_4, audio-1773401499.21513_operateur_3, audio-1773401499.21513_operateur_6;0.4077;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775030856.31673;3;audio-1775030856.31673_operateur_7, audio-1775030856.31673_operateur_9, audio-1775030856.31673_operateur_3;0.3967;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775026708.40952;9;audio-1775026708.40952_operateur_18, audio-1775026708.40952_operateur_17, audio-1775026708.40952_operateur_23;0.3789;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773403450.28778;10;audio-1773403450.28778_operateur_39, audio-1773403450.28778_operateur_18, audio-1773403450.28778_operateur_11;0.3739;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773402913.28607;19;audio-1773402913.28607_operateur_5, audio-1773402913.28607_operateur_34, audio-1773402913.28607_operateur_26;0.3647;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773398331.26839;14;audio-1773398331.26839_operateur_20, audio-1773398331.26839_operateur_14, audio-1773398331.26839_operateur_24;0.3567;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775032192.32020;4;audio-1775032192.32020_operateur_5, audio-1775032192.32020_operateur_16, audio-1775032192.32020_operateur_19;0.3541;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773400658.27514;10;audio-1773400658.27514_operateur_21, audio-1773400658.27514_operateur_20, audio-1773400658.27514_operateur_15;0.3502;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773398136.26807;5;audio-1773398136.26807_operateur_4, audio-1773398136.26807_operateur_22, audio-1773398136.26807_operateur_5;0.3477;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775030418.41623;3;audio-1775030418.41623_operateur_4, audio-1775030418.41623_operateur_10, audio-1775030418.41623_operateur_3;0.3326;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775032917.42139;21;audio-1775032917.42139_operateur_23, audio-1775032917.42139_operateur_22, audio-1775032917.42139_operateur_49;0.318;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773405810.29550;4;audio-1773405810.29550_operateur_6, audio-1773405810.29550_operateur_9, audio-1773405810.29550_operateur_3;0.305;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775032606.32130;2;audio-1775032606.32130_operateur_5, audio-1775032606.32130_operateur_4;0.3028;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773401109.27876;8;audio-1773401109.27876_operateur_13, audio-1773401109.27876_operateur_3, audio-1773401109.27876_operateur_6;0.3008;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773403298.28728;15;audio-1773403298.28728_operateur_11, audio-1773403298.28728_operateur_6, audio-1773403298.28728_operateur_3;0.2904;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773398880.26995;13;audio-1773398880.26995_operateur_22, audio-1773398880.26995_operateur_40, audio-1773398880.26995_operateur_9;0.2872;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773402323.28388;4;audio-1773402323.28388_operateur_39, audio-1773402323.28388_operateur_6, audio-1773402323.28388_operateur_4;0.2825;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775028716.41313;3;audio-1775028716.41313_operateur_19, audio-1775028716.41313_operateur_16, audio-1775028716.41313_operateur_29;0.2767;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775032164.41898;5;audio-1775032164.41898_operateur_40, audio-1775032164.41898_operateur_41, audio-1775032164.41898_operateur_5;0.2652;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773398901.26999;30;audio-1773398901.26999_operateur_28, audio-1773398901.26999_operateur_4, audio-1773398901.26999_operateur_3;0.2509;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775033905.42249;4;audio-1775033905.42249_operateur_30, audio-1775033905.42249_operateur_19, audio-1775033905.42249_operateur_15;0.2472;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773403591.28782;11;audio-1773403591.28782_operateur_33, audio-1773403591.28782_operateur_13, audio-1773403591.28782_operateur_3;0.2435;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773400315.27371;5;audio-1773400315.27371_operateur_16, audio-1773400315.27371_operateur_6, audio-1773400315.27371_operateur_15;0.2389;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1773402731.28558;6;audio-1773402731.28558_operateur_32, audio-1773402731.28558_operateur_7, audio-1773402731.28558_operateur_14;0.2386;N/A;N/A;N/A
20260722_0958;operateur;INTER (Cible);audio-1775030662.31651;12;audio-1775030662.31651_operateur_3, audio-1775030662.31651_operateur_17, audio-1775030662.31651_operateur_32;0.2376;N/A;N/A;N/A
