Type;ID Discussion;Nb Segments;Similitude Moyenne
INTRA (Réf);audio-1773401440.28104;17;0.7737
INTER;audio-1773403821.28852;16;0.8493
INTER;audio-1773399390.27077;9;0.8422
INTER;audio-1773401927.28348;11;0.7194
INTER;audio-1773400315.27371;5;0.622
INTER;audio-1773401109.27876;8;0.6084
INTER;audio-1773406527.29803;15;0.6068
INTER;audio-1773404349.29066;11;0.6024
INTER;audio-1773400658.27514;10;0.5838
INTER;audio-1775028716.41313;3;0.5789
INTER;audio-1773407004.29901;10;0.5743
INTER;audio-1775026708.40952;9;0.5502
INTER;audio-1775031996.31819;5;0.5494
INTER;audio-1773403450.28778;10;0.5422
INTER;audio-1773400084.20925;9;0.54
INTER;audio-1773404182.28921;10;0.5218
INTER;audio-1775030662.31651;12;0.5076
INTER;audio-1775032917.42139;21;0.5071
INTER;audio-1773406234.29636;10;0.4997
INTER;audio-1773400919.27578;5;0.4974
INTER;audio-1773404602.29250;27;0.4926
INTER;audio-1775026399.40938;6;0.4904
INTER;audio-1773406044.29570;19;0.4855
INTER;audio-1775033540.32214;14;0.4801
INTER;audio-1773398880.26995;13;0.4753
INTER;audio-1775032532.42069;15;0.4615
INTER;audio-1773403414.28767;24;0.4565
INTER;audio-1773405457.29373;7;0.454
INTER;audio-1773403721.28842;20;0.4516
INTER;audio-1773401499.21513;3;0.4396
INTER;audio-1775030418.41623;3;0.4289
INTER;audio-1775031968.41843;8;0.422
INTER;audio-1773398245.26823;4;0.4063
INTER;audio-1775031458.41751;6;0.406
INTER;audio-1775032164.41898;5;0.3981
INTER;audio-1773405378.29369;13;0.395
INTER;audio-1773400104.27333;9;0.3895
INTER;audio-1775026276.40906;3;0.3878
INTER;audio-1773403074.28717;6;0.3814
INTER;audio-1775033408.42185;7;0.3701
INTER;audio-1773406501.29799;8;0.3677
INTER;audio-1775033905.42249;4;0.3601
INTER;audio-1773405810.29550;4;0.3593
INTER;audio-1773398359.26843;3;0.3495
INTER;audio-1775025893.40608;4;0.3433
INTER;audio-1775032192.32020;4;0.3386
INTER;audio-1773403591.28782;11;0.3373
INTER;audio-1775028942.41407;6;0.3345
INTER;audio-1773405031.29314;9;0.3314
INTER;audio-1775032737.32140;8;0.3311
INTER;audio-1773407172.29929;3;0.3263
INTER;audio-1773397929.26766;2;0.3224
INTER;audio-1773403298.28728;15;0.3193
INTER;audio-1773402913.28607;19;0.3174
INTER;audio-1773407328.29939;12;0.3156
INTER;audio-1773402260.28378;21;0.3132
INTER;audio-1773398136.26807;5;0.3085
INTER;audio-1775031826.41778;31;0.3082
INTER;audio-1773405730.29546;4;0.2857
INTER;audio-1775026649.40948;6;0.2751
INTER;audio-1773402323.28388;4;0.2736
INTER;audio-1773398331.26839;14;0.2696
INTER;audio-1773402731.28558;6;0.2642
INTER;audio-1773404163.28913;7;0.2623
INTER;audio-1775030856.31673;3;0.261
INTER;audio-1775031713.41765;14;0.256
INTER;audio-1773398901.26999;30;0.2418
INTER;audio-1773407028.22763;14;0.2356
INTER;audio-1775032606.32130;2;0.2057
INTER;audio-1773404504.29223;7;0.1821
