Type Analyse;ID Discussion;Score Similitude;Segments Evalués (Total);ID du Profil (Top 3);Durée Profil (sec);Score Min (Intra);Score Max (Intra)
INTRA (Référence);audio-1773398901.26999;0.607;30;audio-1773398901.26999_operateur_19, audio-1773398901.26999_operateur_3, audio-1773398901.26999_operateur_27;23.1;0.1759;0.7821
INTER (Cible);audio-1773403298.28728;0.5297;15;audio-1773403298.28728_operateur_14, audio-1773403298.28728_operateur_9, audio-1773403298.28728_operateur_2;23.98;N/A;N/A
INTER (Cible);audio-1773402913.28607;0.4764;19;audio-1773402913.28607_operateur_2, audio-1773402913.28607_operateur_6, audio-1773402913.28607_operateur_1;23.42;N/A;N/A
INTER (Cible);audio-1773400104.27333;0.4665;9;audio-1773400104.27333_operateur_9, audio-1773400104.27333_operateur_5, audio-1773400104.27333_operateur_3;19.25;N/A;N/A
INTER (Cible);audio-1773398245.26823;0.4556;4;audio-1773398245.26823_operateur_2, audio-1773398245.26823_operateur_1, audio-1773398245.26823_operateur_3;13.37;N/A;N/A
INTER (Cible);audio-1773402260.28378;0.4043;21;audio-1773402260.28378_operateur_10, audio-1773402260.28378_operateur_9, audio-1773402260.28378_operateur_6;14.02;N/A;N/A
INTER (Cible);audio-1775032532.42069;0.4031;15;audio-1775032532.42069_operateur_15, audio-1775032532.42069_operateur_6, audio-1775032532.42069_operateur_13;11.93;N/A;N/A
INTER (Cible);audio-1775031968.41843;0.3873;8;audio-1775031968.41843_operateur_1, audio-1775031968.41843_operateur_8, audio-1775031968.41843_operateur_5;15.8;N/A;N/A
INTER (Cible);audio-1773401499.21513;0.3802;3;audio-1773401499.21513_operateur_2, audio-1773401499.21513_operateur_1, audio-1773401499.21513_operateur_3;12.0;N/A;N/A
INTER (Cible);audio-1775025893.40608;0.3779;4;audio-1775025893.40608_operateur_4, audio-1775025893.40608_operateur_3, audio-1775025893.40608_operateur_2;18.82;N/A;N/A
INTER (Cible);audio-1773401927.28348;0.3578;11;audio-1773401927.28348_operateur_3, audio-1773401927.28348_operateur_7, audio-1773401927.28348_operateur_5;14.01;N/A;N/A
INTER (Cible);audio-1773398359.26843;0.3459;3;audio-1773398359.26843_operateur_3, audio-1773398359.26843_operateur_1, audio-1773398359.26843_operateur_2;6.48;N/A;N/A
INTER (Cible);audio-1773403591.28782;0.3226;11;audio-1773403591.28782_operateur_10, audio-1773403591.28782_operateur_3, audio-1773403591.28782_operateur_11;15.27;N/A;N/A
INTER (Cible);audio-1775026708.40952;0.3218;9;audio-1775026708.40952_operateur_4, audio-1775026708.40952_operateur_7, audio-1775026708.40952_operateur_2;15.91;N/A;N/A
INTER (Cible);audio-1773398136.26807;0.3215;5;audio-1773398136.26807_operateur_2, audio-1773398136.26807_operateur_1, audio-1773398136.26807_operateur_4;12.34;N/A;N/A
INTER (Cible);audio-1775032917.42139;0.3191;21;audio-1775032917.42139_operateur_17, audio-1775032917.42139_operateur_16, audio-1775032917.42139_operateur_4;18.09;N/A;N/A
INTER (Cible);audio-1775031826.41778;0.3027;31;audio-1775031826.41778_operateur_25, audio-1775031826.41778_operateur_12, audio-1775031826.41778_operateur_26;26.83;N/A;N/A
INTER (Cible);audio-1773403414.28767;0.2938;24;audio-1773403414.28767_operateur_14, audio-1773403414.28767_operateur_22, audio-1773403414.28767_operateur_2;18.21;N/A;N/A
INTER (Cible);audio-1773406044.29570;0.2876;19;audio-1773406044.29570_operateur_19, audio-1773406044.29570_operateur_14, audio-1773406044.29570_operateur_8;11.1;N/A;N/A
INTER (Cible);audio-1773404163.28913;0.2825;7;audio-1773404163.28913_operateur_1, audio-1773404163.28913_operateur_7, audio-1773404163.28913_operateur_4;9.06;N/A;N/A
