Type;ID Discussion;Nb Segments;Similitude Moyenne
INTRA (Réf);audio-1773406044.29570;19;0.2872
INTER;audio-1773403721.28842;20;0.3192
INTER;audio-1773406501.29799;8;0.3075
INTER;audio-1773404602.29250;27;0.2985
INTER;audio-1773405378.29369;13;0.2957
INTER;audio-1773403414.28767;24;0.2807
INTER;audio-1773407004.29901;10;0.2611
INTER;audio-1773404182.28921;10;0.2606
INTER;audio-1773404504.29223;7;0.2146
INTER;audio-1775030856.31673;3;0.2056
INTER;audio-1773400315.27371;5;0.1959
INTER;audio-1775033905.42249;4;0.1941
INTER;audio-1773401109.27876;8;0.1927
INTER;audio-1775033408.42185;7;0.1924
INTER;audio-1775026649.40948;6;0.192
INTER;audio-1773398359.26843;3;0.1863
INTER;audio-1773405031.29314;9;0.186
INTER;audio-1775032192.32020;4;0.1842
INTER;audio-1775032532.42069;15;0.1754
INTER;audio-1775026399.40938;6;0.1745
INTER;audio-1773404349.29066;11;0.1744
INTER;audio-1775032917.42139;21;0.1702
INTER;audio-1773403074.28717;6;0.1701
INTER;audio-1773405730.29546;4;0.1701
INTER;audio-1775025893.40608;4;0.1686
INTER;audio-1773401440.28104;17;0.1683
INTER;audio-1775030418.41623;3;0.1643
INTER;audio-1773399390.27077;9;0.1636
INTER;audio-1775033540.32214;14;0.1635
INTER;audio-1775026708.40952;9;0.1633
INTER;audio-1773406234.29636;10;0.1628
INTER;audio-1773403821.28852;16;0.1615
INTER;audio-1775026276.40906;3;0.1612
INTER;audio-1775031458.41751;6;0.1588
INTER;audio-1775032164.41898;5;0.1575
INTER;audio-1775032737.32140;8;0.1562
INTER;audio-1773400919.27578;5;0.1553
INTER;audio-1773398245.26823;4;0.155
INTER;audio-1773398880.26995;13;0.1536
INTER;audio-1773404163.28913;7;0.151
INTER;audio-1775028716.41313;3;0.1504
INTER;audio-1773407328.29939;12;0.1478
INTER;audio-1773400658.27514;10;0.1472
INTER;audio-1773406527.29803;15;0.147
INTER;audio-1773405810.29550;4;0.1462
INTER;audio-1773400084.20925;9;0.1452
INTER;audio-1775032606.32130;2;0.1448
INTER;audio-1773398136.26807;5;0.1448
INTER;audio-1773407172.29929;3;0.1429
INTER;audio-1773403591.28782;11;0.1422
INTER;audio-1773403450.28778;10;0.1409
INTER;audio-1773398901.26999;30;0.1392
INTER;audio-1773403298.28728;15;0.1384
INTER;audio-1773405457.29373;7;0.1338
INTER;audio-1773402731.28558;6;0.1333
INTER;audio-1773400104.27333;9;0.1275
INTER;audio-1775030662.31651;12;0.1258
INTER;audio-1775028942.41407;6;0.1246
INTER;audio-1773402323.28388;4;0.124
INTER;audio-1773401499.21513;3;0.1239
INTER;audio-1773407028.22763;14;0.1232
INTER;audio-1775031996.31819;5;0.123
INTER;audio-1775031713.41765;14;0.1212
INTER;audio-1773401927.28348;11;0.1202
INTER;audio-1775031968.41843;8;0.1167
INTER;audio-1775031826.41778;31;0.1136
INTER;audio-1773397929.26766;2;0.1088
INTER;audio-1773398331.26839;14;0.0989
INTER;audio-1773402260.28378;21;0.0933
INTER;audio-1773402913.28607;19;0.0817
